Reactor,Feed1,Feed2,Time,ProdParafPer,ProdEBPer,Admixture,BenzeneConv,Selectivity,t1,t2,t3,t4,t5,t6,PresDrop
2,7.1,160,2640,0.09,13.68,1.74,14.69,93.12,9.4,21.6,11.4,15.7,12.3,11.1,5.6
2,7.1,160,2664,0.08,12.81,1.59,13.83,92.62,10.3,21.6,11.3,14.3,11.6,10.6,5.64
2,7.1,160,2688,0.06,14.29,1.85,15.47,92.37,9.9,21.6,10.9,14.9,12,10.8,5.67
2,7.1,160,2712,0.08,12.37,1.44,13.14,94.14,8.9,22.1,11.6,15.6,12.8,10.1,5.68
1,3.6,150,2736,0.09,7.37,0.73,7.42,99.33,6.7,13.1,5.1,9.6,8.5,14.3,4.38
2,7,165,24,0.07,7.54,0.43,7.39,102.03,15.3,17.8,6.5,16.8,16.6,8.8,1.87
2,7,165,48,0.06,8.14,0.51,8.09,100.62,15,16,13.9,16.9,16.3,9,1.82
2,7,165,72,0.07,7.57,0.49,7.44,101.75,16.4,17.1,14.3,16,16.6,8.8,1.74
2,7.2,165,96,0.06,11.85,1.1,12.47,95.03,15.5,17.3,15.6,18,17.2,8.6,1.79
2,7.2,165,120,0.08,9.6,0.77,10.15,94.58,15.6,16.9,15.1,17.8,17,8.9,1.78
2,7.2,165,144,0.1,6.98,0.42,6.82,102.35,15.2,17.2,15.2,17.7,16.9,9.1,1.79
2,7.2,165,168,0.09,8.15,0.51,7.98,102.13,16.1,17.8,15.7,15,17.3,9.5,1.9
2,7,165,192,0.1,7.05,0.47,7.11,99.16,14.8,16.9,14.6,14.3,16.8,9.9,1.88
2,7,165,216,0.05,13.13,1.36,13.93,94.26,15.8,17.2,15.2,14.6,16.7,9.9,1.88
2,7,165,240,0.06,14.02,1.44,14.81,94.67,16.2,17.4,15.3,15,16.6,9.7,1.8
2,7,165,264,0.05,13.98,1.4,14.69,95.17,16,17.4,15.4,16.2,16.7,10,1.81
2,7,165,288,0.04,15,1.58,16.03,93.57,16.2,18,16,16.4,16.5,10,1.83
2,7,165,312,0.04,13.8,1.36,14.61,94.46,16,17,14.6,16.6,16.5,9.7,1.8
2,7,165,336,0.05,14.09,1.53,15.04,93.68,14.6,16.8,14.3,17.1,16.4,9.8,1.82
2,7,165,360,0.04,14.53,1.58,15.44,94.11,15.2,17.6,15,17,16.8,9.7,1.77
2,7,165,384,0.05,14.51,1.56,15.53,93.43,15.6,18.1,15.4,17.4,17.3,10,1.79
2,4.5,160,408,0.05,9.72,0.83,9.7,100.21,8.7,12.6,9.8,11.3,12.5,7.8,1.67
2,4,160,432,0.05,8.75,0.68,8.81,99.32,8.9,10.6,8,8.4,11.3,7.7,1.67
2,3.5,160,456,0.05,8.56,0.61,8.38,102.15,7.2,8.4,6.5,7.4,7.5,9.8,1.79
2,3.5,160,480,0.04,7.98,0.58,7.96,100.25,6.9,8,6,8.2,10.1,7.6,1.69
2,3.5,160,504,0.04,7.2,0.47,7.04,102.27,7.1,8.5,6.8,7,9.2,7.7,1.6
2,5.5,160,528,0.04,13.02,1.25,13.21,98.56,12.5,14.3,11.1,13.5,13.8,8.9,1.58
2,6.7,165,552,0.05,11.33,0.97,11.26,100.62,15.1,17.2,14.2,14.9,15.4,9.4,1.68
2,7,165,576,0.04,13.62,1.36,14.21,95.85,15.1,18,15,17.1,16.7,10,1.83
2,6.9,165,600,0.05,12.12,1.1,12.72,95.28,15.5,17.4,15.9,17.8,16.5,9.5,1.86
2,6.9,165,624,0.04,12.92,1.28,13.58,95.14,15.1,17.5,14.9,16.9,15.7,9.7,1.87
2,6.9,165,648,0.05,13.46,2.49,14.32,93.99,15.8,16.4,14.5,16.9,16,9.3,1.83
2,6.9,165,672,0.04,13.48,1.33,14.23,94.73,15,16.3,13.9,17.1,16.1,9.5,1.81
2,6.9,165,696,0.05,13.27,1.27,13.92,95.33,15.2,16.3,13.9,16.7,16.7,10,1.81
2,6.9,165,720,0.04,13.34,1.38,14.11,94.54,15.4,17.5,15.2,17.1,17.2,9.8,1.84
2,6.9,165,744,0.03,14.15,1.57,14.98,94.46,15.2,17.6,15.4,17.6,17.2,10,1.89
2,6.9,165,768,0.02,12.68,1.17,13.29,95.41,15.2,16.9,14.4,17.9,16.9,10,1.82
2,6.9,165,792,0.04,14.14,1.4,14.89,94.96,15.7,17,14.3,17.5,16.6,10.1,1.86
2,6.9,165,816,0.04,13.27,1.31,13.97,94.99,15,17.1,14.5,17.7,16.8,10.4,1.92
2,6.9,165,840,0.05,12.44,1.44,13.12,94.82,15.1,17.3,14.2,17.1,16.2,10.3,1.89
2,6.9,165,864,0.05,12.09,1.25,12.61,95.88,14.7,16.7,14.2,16.4,16,10,1.86
2,6.9,165,888,0.05,12.07,1.26,12.58,95.95,15.2,17,14.2,17.1,16.2,10.1,1.86
2,6.9,165,912,0.05,12.33,1.28,12.96,95.14,14.6,16.7,14.4,16.6,15.5,10.4,1.84
2,6.9,165,936,0.03,12.88,1.32,13.64,94.43,15.2,16.4,14,17.5,16,10.1,1.86
2,6.9,165,960,0.03,12.8,1.23,13.36,95.81,14.9,17.5,14.8,17.9,16.9,10.6,1.83
2,6.9,165,984,0.03,12.51,1.2,13.13,95.28,14.3,16.3,14,17.2,16.6,10.7,1.82
2,6.9,165,1008,0.03,14.02,1.44,14.94,93.84,14.7,17.1,14.7,16.7,16.8,10.6,1.88
2,6.9,165,1032,0.03,13.36,1.39,14.18,94.22,14.6,17,13.7,16.5,16.1,10.2,1.86
2,6.9,165,1056,0.01,12.7,1.28,13.5,94.07,14.3,16.8,14.1,17.2,16.3,10.4,1.86
2,6.9,165,1080,0.03,13.72,1.34,13.91,98.63,14.7,17.6,14.6,17.1,17.4,10.2,1.82
2,6.9,165,1104,0.02,12.86,1.32,13.5,95.26,14.1,16.6,13.6,17.1,16.5,10.2,1.89
2,6.9,165,1128,0.02,12.99,1.35,13.81,94.06,14.5,16.5,14.3,16.8,16.3,10.2,1.83
2,6.6,165,1152,0.03,11.59,1.13,12.08,95.94,13.8,15.6,13.4,16.8,15.6,10.4,1.79
2,6.6,165,1176,0.02,12.55,1.31,13.19,95.15,14.1,16.9,14.1,16.3,15.5,10.2,1.95
2,6.9,165,1200,0.03,12.21,1.19,12.76,95.69,14.5,17,13.1,16.7,16.1,10.3,2
2,6.9,165,1224,0.03,12.13,1.29,12.8,94.77,14.3,16.2,13.4,17.4,15.9,10.6,1.9
2,6.9,165,1248,0.02,12.3,1.15,12.91,95.27,14.7,15.9,13,16.3,16,10.5,1.92
2,6.6,165,1272,0.03,11.54,1.1,12.05,95.77,14,15.8,12.6,16.4,15.9,10.3,1.86
2,6.6,165,1296,0.03,12.37,1.17,12.8,96.64,14.2,15.6,12.8,16.2,16,10.3,1.89
2,6.6,165,1320,0.03,11.4,1.12,11.83,96.37,14.7,16.2,14.3,16.9,16.7,7.6,1.88
2,6.6,165,1344,0.02,12.42,1.27,13.06,95.10,15.4,16.9,13.6,16.7,16.8,8,1.94
2,6.6,165,1368,0.02,14.03,1.46,14.74,95.18,14.7,17.2,13.8,17.4,16.5,7.5,1.92
2,6.6,165,1392,0.02,12.79,1.26,13.47,94.95,14.5,17,14.5,17,16.7,7.5,1.9
2,6.6,165,1416,0.02,12.76,1.32,13.4,95.22,14.7,16,14.1,17.8,16.4,7.7,1.88
2,6.6,165,1440,0.02,13.02,1.33,13.52,96.30,14.7,16.8,14.6,17.2,16.7,7.7,1.85
2,6.6,165,1464,0.02,12.2,1.34,12.93,94.35,15,17,14.8,17.3,16.6,7.4,1.88
2,6.6,165,1488,0.04,11.72,1.15,11.43,102.54,15,17.2,14.7,17.5,16.5,7.3,1.85
2,6.6,165,1512,0.02,11.38,1.11,11.74,96.93,15.5,18,14.7,17.8,16.7,7.8,1.9
2,6.6,165,1536,0.03,10.96,1.04,11.27,97.25,15.2,16.7,14.3,16.7,15.9,7.7,1.9
2,6.6,165,1560,0.03,11.97,0.38,12.5,95.76,14.7,17.4,15.7,17.7,16.7,7.7,1.9
2,6.6,165,1584,0.03,11.79,1.18,12.24,96.32,14.8,17.4,14.6,18,16.3,7.9,1.93
2,6.6,165,1608,0.03,12.13,1.2,12.69,95.59,15.4,16.7,14.1,17.6,15.7,7.7,1.93
2,6.6,165,1632,0.04,12.46,1.3,12.67,98.34,15.1,16.8,14.7,16.5,15.7,7.3,1.9
2,6.6,165,1656,0.03,12.1,1.38,13.46,89.90,14.5,16.3,14.2,16.5,15.4,7.7,1.87
2,6.6,165,1680,0.03,11.96,1.5,12.44,96.14,15.4,16.4,14.3,16.3,15.4,7.7,1.93
2,6.6,165,1704,0.05,12.85,1.38,13.52,95.04,15.4,17.1,13.8,15.8,15.6,7.7,1.88
2,6.6,165,1728,0.03,13.39,1.36,14.1,94.96,14.4,16.7,14,16.5,15.2,7.8,1.8
